item,geo,inception
http://www.wikidata.org/entity/Q3371370,Point(5.27625 52.1314),2014-12-11T00:00:00Z
http://www.wikidata.org/entity/Q3430167,Point(5.435278 52.522222),1985-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3464842,Point(6.11006 53.26449),1646-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3611008,Point(6.696042 53.099461),1851-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2345721,Point(5.41923 53.17457),1957-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2351733,Point(4.507306 51.944361),1976-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2351867,Point(6.32586 53.15687),1400-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2356434,Point(5.13 52.09417),1986-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2365901,Point(6.48788 51.86134),2018-05-30T00:00:00Z
http://www.wikidata.org/entity/Q2365901,Point(6.48818 51.86145),2018-05-30T00:00:00Z
http://www.wikidata.org/entity/Q2376342,Point(4.7715883 52.465656),1983-12-12T00:00:00Z
http://www.wikidata.org/entity/Q2382575,Point(5.058830555 52.639172222),1880-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2383603,Point(4.93861 52.34611),2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2394952,Point(5.12132 52.08958),2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2419924,Point(6.54 53.203),1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2419924,Point(6.542777777 53.204166666),1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2429440,Point(6.159722 52.251389),1531-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2436387,Point(6.09128 52.51019),1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2447629,Point(5.878239 51.841986),1922-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2468128,Point(4.484167 52.156111),1590-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2470853,Point(5.909444 51.8125),1956-04-07T00:00:00Z
http://www.wikidata.org/entity/Q2479640,Point(6.395556 53.1675),1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2491328,Point(6.87584 53.10707),1939-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2534749,Point(6.120122222 51.333816666),1931-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2539475,Point(5.24889 51.81111),1979-06-28T00:00:00Z
http://www.wikidata.org/entity/Q2549659,Point(5.625556 53.448889),1880-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2589172,Point(6.17523 51.37197),1882-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1258370,Point(6.564055555 52.993083333),1854-11-28T00:00:00Z
http://www.wikidata.org/entity/Q1278103,Point(5.47639 51.42389),1982-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1345886,Point(6.568527777 53.138169444),1990-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1419675,Point(4.891944 52.373889),1408-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1422000,Point(4.912392 52.374106),1923-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1538389,Point(4.900594 52.384411),1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1576733,Point(4.908441666 52.366969444),1638-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1616115,Point(4.873233 52.390514),1921-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1616115,Point(4.873233 52.390514),2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1634251,Point(5.688738888 50.848358333),1973-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1662109,Point(4.48463 52.15969),2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1735318,Point(4.986347 52.121431),1892-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1738414,Point(4.304444444 52.085),1881-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3783595,Point(4.896911111 52.371752777),1985-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3311591,Point(4.47222222 51.91055556),1927-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2622128,Point(6.136706 51.344156),1767-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2630225,Point(4.87221 52.38608),2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2645114,Point(4.749933 52.383231),1852-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2653692,Point(4.30783 52.08869),1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2654416,Point(4.66115 51.808727),1981-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2665541,Point(6.683872 53.404964),1614-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2679819,Point(6.798611111 52.930722222),1959-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2683308,Point(5.775 53.45028),1972-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2690006,Point(4.44889 51.90806),1825-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2693553,Point(5.89309 51.99928),1764-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2693553,Point(5.89312 51.99934),1764-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2694031,Point(5.633333 53.44),1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2698911,Point(4.85417 52.34333),1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2739162,Point(5.530414 52.457867),1997-09-20T00:00:00Z
http://www.wikidata.org/entity/Q2754844,Point(5.7914 53.20386),2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2754878,Point(4.31694 52.08361),1852-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2754878,Point(4.31561 52.08496),1852-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2787871,Point(4.92685 52.38862),2009-04-01T00:00:00Z
http://www.wikidata.org/entity/Q2793692,Point(4.496558 51.911078),2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2794022,Point(4.827258 52.380114),2010-05-01T00:00:00Z
http://www.wikidata.org/entity/Q2860957,Point(5.484478 51.441611),2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2863024,Point(7.19208 53.00694),1842-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2874177,Point(4.671944 51.813889),1842-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2916386,Point(4.89158 52.36554),1990-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2916386,Point(4.8916 52.36557),1990-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2919762,Point(4.88639 52.36861),1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2920487,Point(4.88454722 52.37128333),1994-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3983824,Point(5.079722 51.570833),1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4540226,Point(4.806389 52.679167),1976-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4623539,Point(4.7436 52.6334),1873-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4800505,Point(6.29175 52.57178),1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7476442,Point(5.66778 52.04278),2009-04-28T00:00:00Z
http://www.wikidata.org/entity/Q7477577,Point(6.07583 53.40491),1962-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4839876,Point(6.90889 52.2175),1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5422840,Point(4.89356389 52.36388889),2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7699152,Point(4.635411 52.382264),1988-04-15T00:00:00Z
http://www.wikidata.org/entity/Q7708470,Point(4.50176111 52.15547222),1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11722011,Point(4.31413889 52.08131667),1986-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12012494,Point(4.779722 51.584444),1902-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12013196,Point(5.96361 52.95722),2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q13866204,Point(4.884117 52.413686),2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q13882236,Point(6.07129 52.4747),1981-05-15T00:00:00Z
http://www.wikidata.org/entity/Q14544962,Point(4.882607 52.370176),1967-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14544962,Point(4.882607 52.370176),1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14624728,Point(5.65228 51.7972),2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14629603,Point(6.389672222 53.040452777),1823-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15876504,Point(4.635597 51.873006),1923-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15882926,Point(5.69096 50.8568),1911-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15961602,Point(4.8978 52.3661),2011-09-24T00:00:00Z
http://www.wikidata.org/entity/Q15964404,Point(4.94249 52.3127),1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16151477,Point(5.666405555 51.987469444),1966-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17153751,Point(4.482457 52.163318),2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17190029,Point(5.309994444 51.687669444),1976-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17292023,Point(4.924139 52.359583),1884-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17329530,Point(5.78881 53.2039),1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17449122,Point(4.81533 52.47194),1887-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17590487,Point(5.59606 52.66144),1905-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17594749,Point(4.82341 52.43732),1632-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17594749,Point(4.823417 52.43733),1632-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18088761,Point(6.52297 52.1165),1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18169481,Point(4.912583333 52.366861111),2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18326395,Point(6.86722 53.1592),2014-10-10T00:00:00Z
http://www.wikidata.org/entity/Q18378399,Point(4.89356389 52.36388889),1863-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18558954,Point(5.3366554 51.9118536),1936-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18608766,Point(4.498333333 52.16),2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18775796,Point(4.453333 51.926944),1857-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19973950,Point(5.706855555 50.778952777),2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19974153,Point(5.365833 52.132778),2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20745706,Point(5.1062 52.4605),1983-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20888634,Point(4.470925 51.914589),2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20970639,Point(5.042766666 52.306763888),1974-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20970911,Point(4.254178 51.9209),1933-06-01T00:00:00Z
http://www.wikidata.org/entity/Q21064115,Point(4.43727 52.25115083),2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q25658642,Point(5.9489835 53.1359925),1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26832671,Point(4.881892 52.358714),2016-04-01T00:00:00Z
http://www.wikidata.org/entity/Q22991536,Point(5.457017 51.44713),1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23930568,Point(6.200794 52.199617),2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q24033642,Point(5.258897 51.665483),2002-01-01T00:00:00Z
